Date,4YO,5YO,3-5YO Avg.
Jan-18,67000,55000,65000
Mar,64000,47000,64000
May,66000,50000,65000
Jul,64000,52000,64000
Sep,64000,51000,64000
Nov,63000,49000,63000
Jan-19,72000,60000,72000
Mar,72000,60000,71000
May,70000,58000,69000
Jul,69000,55000,68000
Sep,67000,50000,66000
Nov,65000,46000,64000
Jan-20,65000,43000,64000
Mar,61000,40000,61000
May,56000,38000,56000
Jul,54000,38000,54000
Sep,53000,38000,53000
Nov,54000,40000,54000
Jan-21,72000,52000,72000
Mar,70000,50000,71000
May,73000,56000,74000
Jul,80000,60000,79000
