Month,4YO,5YO,3-5YO Avg.
Jan-15,78000,70000,83000
Feb,75000,67000,83000
Mar,72000,64000,80000
Apr,71000,62000,78000
May,71000,61000,77000
Jun,70000,60000,77000
Jul,70000,59000,76000
Aug,70000,58000,76000
Sep,69000,57000,75000
Oct,68000,55000,73000
Nov,66000,53000,71000
Dec,63000,51000,67000
Jan-16,72000,58000,93000
Feb,71000,57000,81000
Mar,68000,47000,80000
Apr,66000,45000,79000
May,65000,46000,80000
Jun,63000,52000,82000
Jul,61000,50000,79000
Aug,60000,48000,78000
Sep,60000,47000,75000
Oct,61000,45000,72000
Nov,62000,43000,69000
Dec,62000,41000,66000
Jan-17,68000,56000,79000
Feb,67000,54000,78000
Mar,66000,47000,82000
Apr,62000,45000,78000
May,61000,44000,75000
Jun,60000,46000,73000
Jul,59000,44000,72000
Aug,58000,44000,71000
Sep,56000,43000,70000
Oct,54000,41000,68000
Nov,52000,39000,69000
Dec,54000,42000,71000
Jan-18 (est.),55000,42000,70000
