Month,4YO,5YO,3-5YO Avg.
Jan-18,65000,55000,70000
Mar,65000,47000,80000
May,64000,50000,80000
Jul,63000,52000,78000
Sep,63000,50000,78000
Nov,62000,52000,77000
Jan-19,77000,61000,78000
Mar,73000,58000,95000
May,72000,56000,90000
Jul,70000,53000,85000
Sep,68000,49000,82000
Nov,65000,45000,80000
Jan-20,65000,50000,88000
Mar,62000,43000,85000
May,57000,38000,78000
Jul,55000,38000,75000
Sep,53000,38000,74000
Nov,52000,40000,72000
Jan-21,70000,50000,72000
Mar,70000,50000,90000
May,75000,58000,93000
Jul,78000,60000,100000
Sep,85000,70000,103000
