Month,3YO,4YO,5YO
Jan-19,96000,75000,60000
Mar,84000,70000,58000
May,93000,70000,55000
Jul,89000,68000,53000
Sep,82000,65000,50000
Nov,78000,61000,48000
Jan-20,90000,64000,44000
Mar,85000,63000,44000
May,75000,55000,40000
Jul,72000,53000,39000
Sep,72000,50000,38000
Nov,71000,50000,39000
Jan-21,90000,63000,50000
Mar,97000,70000,55000
May,102000,79000,60000
Jul,100000,84000,65000
Sep,104000,90000,70000
Nov,113000,95000,78000
Jan-22,133000,123000,110000
Mar,155000,140000,115000
May,162000,142000,113000
Jul,145000,135000,108000
Sep,140000,125000,102000
Nov,133000,115000,95000
Jan-23,132000,105000,83000
Mar,112000,85000,68000
