Month,3YO,4YO,5YO,3-5YO Avg.
Jan-19,94000,76000,61000,78000
Mar,88000,71000,59000,75000
May,93000,73000,57000,73000
Jul,87000,70000,53000,70000
Sep,83000,66000,49000,66000
Nov,79000,63000,45000,63000
Jan-20,89000,67000,42000,67000
Mar,86000,65000,41000,64000
May,83000,63000,39000,62000
Jul,77000,58000,40000,57000
Sep,73000,56000,40000,55000
Nov,72000,53000,39000,53000
Jan-21,89000,67000,50000,67000
Mar,95000,74000,53000,73000
May,97000,77000,55000,77000
Jul,104000,83000,63000,82000
Sep,114000,90000,73000,88000
Nov,119000,94000,76000,92000
Jan-22,124000,101000,76000,97000
Mar,154000,140000,112000,128000
May,166000,137000,115000,140000
Jul,154000,129000,112000,130000
Sep,140000,114000,93000,117000
Nov,117000,103000,79000,100000
