Month,4YO,5YO,3-5YO Avg.
Jan-16,70000,57000,73000
Mar,66000,46000,80000
May,63000,51000,78000
Jul,60000,47000,74000
Sep,59000,44000,74000
Nov,54000,40000,67000
Jan-17,67000,52000,68000
Mar,62000,44000,80000
May,61000,48000,78000
Jul,56000,45000,72000
Sep,55000,41000,70000
Nov,54000,40000,65000
Jan-18,66000,52000,92000
Mar,66000,48000,78000
May,64000,43000,79000
Jul,63000,45000,75000
Sep,63000,44000,74000
Nov,62000,44000,74000
Jan-19,69000,52000,78000
Mar,70000,46000,95000
May,72000,51000,90000
Jul,68000,56000,80000
Sep,65000,57000,77000
Nov,61000,54000,73000
Jan-20,64000,50000,90000
Mar,63000,42000,90000
May,52000,38000,75000
Jul,50000,43000,52000
Sep,54000,53000,53000
