Date,3YO,4YO,5YO
Jan-19,95000,75000,60000
Mar,85000,70000,58000
May,95000,70000,55000
Jul,85000,68000,52000
Sep,80000,63000,48000
Nov,78000,60000,45000
Jan-20,88000,65000,45000
Mar,85000,63000,43000
May,78000,58000,40000
Jul,70000,55000,38000
Sep,72000,53000,40000
Nov,73000,52000,40000
Jan-21,92000,65000,48000
Mar,95000,72000,52000
May,98000,75000,55000
Jul,100000,78000,60000
Sep,110000,85000,68000
Nov,120000,90000,75000
Jan-22,130000,105000,90000
Mar,150000,125000,115000
May,165000,140000,115000
Jul,155000,145000,110000
Sep,135000,120000,105000
Nov,130000,115000,100000
Jan-23,115000,95000,85000
Mar,110000,88000,78000
May,115000,85000,73000
Jul,110000,80000,68000
Sep,100000,75000,63000
Nov,95000,70000,58000
Jan-24,90000,65000,40000
Mar,120000,80000,65000
May,95000,70000,50000
