Month,4YO,5YO,3-5YO Avg.
Jan-16,70000,57000,73000
Mar,67000,48000,79000
May,63000,45000,81000
Jul,60000,42000,76000
Sep,59000,47000,76000
Nov,58000,41000,67000
Jan-17,70000,45000,81000
Mar,63000,47000,76000
May,61000,43000,78000
Jul,60000,44000,72000
Sep,55000,42000,70000
Nov,54000,40000,67000
Jan-18,67000,52000,90000
Mar,64000,46000,76000
May,62000,45000,77000
Jul,63000,44000,73000
Sep,63000,46000,73000
Nov,62000,49000,75000
Jan-19,68000,52000,94000
Mar,72000,59000,85000
May,70000,57000,95000
Jul,69000,58000,85000
Sep,68000,58000,76000
Nov,62000,54000,70000
Jan-20,68000,44000,89000
Mar,63000,42000,88000
May,56000,44000,58000
Jul,52000,39000,53000
Sep,54000,40000,54000
