Month,4YO,5YO,3-5YO Avg.
Jan-15,78000,70000,80000
Mar,73000,62000,83000
May,71000,60000,80000
Jul,71000,58000,78000
Sep,68000,57000,75000
Nov,62000,54000,73000
Jan-16,70000,60000,93000
Mar,68000,64000,78000
May,65000,48000,81000
Jul,63000,43000,79000
Sep,60000,45000,76000
Nov,58000,40000,74000
Jan-17,67000,52000,79000
Mar,63000,48000,78000
May,61000,46000,82000
Jul,60000,43000,81000
Sep,55000,43000,75000
Nov,52000,40000,72000
Jan-18,70000,57000,65000
Mar,62000,46000,89000
May (est.),63000,47000,78000
