Month,3YO,4YO,5YO,3-5YO Avg.
Jan-19,93000,77000,61000,78000
Mar,84000,70000,58000,71000
May,94000,74000,60000,74000
Jul,87000,68000,54000,68000
Sep,80000,63000,49000,63000
Nov,78000,57000,43000,59000
Jan-20,89000,67000,48000,67000
Mar,83000,65000,41000,64000
May,83000,57000,39000,59000
Jul,73000,54000,39000,56000
Sep,72000,53000,39000,54000
Nov,72000,52000,40000,54000
Jan-21,94000,71000,51000,71000
Mar,90000,72000,54000,72000
May,101000,77000,58000,78000
Jul,103000,80000,64000,81000
Sep,110000,86000,70000,87000
Nov,120000,97000,77000,97000
Jan-22,120000,126000,106000,125000
Mar,165000,138000,114000,138000
May,150000,142000,115000,132000
Jul,140000,126000,102000,120000
Sep,135000,113000,90000,112000
