Month,4YO,5YO,3-5YO Avg.
Jan-15,77000,69000,80000
Feb,74000,66000,83000
Mar,72000,64000,82000
Apr,72000,63000,79000
May,71000,62000,78000
Jun,71000,61000,77000
Jul,71000,60000,77000
Aug,70000,59000,76000
Sep,69000,58000,75000
Oct,69000,56000,74000
Nov,67000,55000,73000
Dec,66000,53000,72000
Jan-16,70000,58000,77000
Feb,71000,57000,77000
Mar,70000,45000,82000
Apr,67000,48000,83000
May,66000,46000,81000
Jun,64000,48000,79000
Jul,63000,49000,77000
Aug,62000,48000,77000
Sep,61000,46000,76000
Oct,60000,43000,75000
Nov,59000,41000,74000
Dec,58000,40000,73000
Jan-17,67000,54000,67000
Feb,66000,46000,79000
Mar,65000,45000,79000
Apr,64000,46000,78000
May,63000,45000,77000
Jun,61000,45000,76000
Jul,60000,44000,75000
Aug,59000,43000,73000
Sep,57000,42000,71000
Oct,56000,41000,70000
Nov,55000,40000,69000
Dec,54000,39000,68000
Jan-18 (est.),67000,51000,80000
Feb,65000,49000,68000
