Month,3YO,4YO,5YO
Jan-19,94000,78000,61000
Mar-19,83000,69000,59000
May-19,95000,72000,61000
Jul-19,86000,67000,56000
Sep-19,84000,63000,52000
Nov-19,74000,59000,47000
Jan-20,89000,64000,45000
Mar-20,84000,61000,42000
May-20,85000,56000,42000
Jul-20,79000,54000,39000
Sep-20,72000,52000,39000
Nov-20,72000,50000,40000
Jan-21,89000,63000,51000
Mar-21,94000,71000,54000
May-21,92000,75000,53000
Jul-21,97000,79000,60000
Sep-21,103000,82000,68000
Nov-21,118000,90000,78000
Jan-22,120000,98000,85000
Mar-22,131000,113000,100000
May-22,153000,134000,113000
Jul-22,167000,143000,115000
Sep-22,151000,129000,105000
Nov-22,140000,115000,96000
Jan-23,133000,106000,84000
Mar-23,111000,94000,79000
May-23,114000,83000,69000
