Month,4YO,5YO,3-5YO Avg.
Jan-16,70000,57000,73000
Mar-16,67000,47000,80000
May-16,62000,45000,78000
Jul-16,60000,49000,79000
Sep-16,59000,44000,76000
Nov-16,57000,41000,68000
Jan-17,68000,40000,73000
Mar-17,62000,48000,81000
May-17,60000,44000,78000
Jul-17,61000,44000,78000
Sep-17,57000,46000,71000
Nov-17,54000,40000,66000
Jan-18,67000,43000,74000
Mar-18,65000,45000,82000
May-18,64000,45000,81000
Jul-18,63000,48000,83000
Sep-18,63000,47000,79000
Nov-18,62000,40000,76000
Jan-19,70000,52000,76000
Mar-19,72000,58000,93000
May-19,70000,57000,85000
Jul-19,69000,57000,90000
Sep-19,66000,55000,85000
Nov-19,62000,48000,80000
Jan-20,65000,43000,85000
Mar-20,64000,41000,90000
May-20,53000,44000,82000
Jul-20,51000,40000,84000
Sep-20,59000,41000,76000
Nov-20,63000,45000,73000
Jan-21,58000,39000,76000
Mar-21,52000,44000,70000
May-21,51000,39000,74000
Jul-21,55000,40000,75000
