Month,4YO,5YO,3-5YO Avg.
Jan-16,70000,58000,73000
Feb,67000,52000,79000
Mar,65000,48000,78000
Apr,64000,43000,82000
May,61000,51000,81000
Jun,59000,47000,78000
Jul,58000,43000,75000
Aug,57000,42000,74000
Sep,56000,42000,74000
Oct,56000,41000,71000
Nov,54000,40000,70000
Dec,53000,41000,66000
Jan-17,70000,52000,78000
Feb,62000,47000,65000
Mar,61000,45000,61000
Apr,61000,47000,60000
May,60000,47000,60000
Jun,60000,45000,61000
Jul,58000,45000,58000
Aug,55000,41000,57000
Sep,53000,40000,56000
Oct,52000,40000,55000
Nov,52000,40000,54000
Dec,51000,41000,52000
Jan-18,68000,48000,70000
Feb,64000,47000,90000
Mar,64000,47000,82000
Apr,63000,49000,77000
May,64000,48000,80000
Jun,63000,47000,81000
Jul,64000,48000,82000
Aug,63000,50000,83000
Sep,63000,50000,80000
Oct,63000,52000,82000
Nov,62000,51000,79000
Dec,62000,53000,78000
Jan-19,78000,62000,94000
