Month,4YO,5YO,3-5YO Avg.
Jan-16,69000,58000,72000
Mar,66000,50000,78000
May,64000,43000,78000
Jul,61000,47000,74000
Sep,60000,44000,73000
Nov,58000,41000,70000
Jan-17,67000,53000,78000
Mar,62000,46000,80000
May,60000,44000,78000
Jul,59000,47000,75000
Sep,57000,42000,71000
Nov,53000,40000,69000
Jan-18,70000,55000,82000
Mar,67000,46000,90000
May,65000,46000,83000
Jul,64000,48000,82000
Sep,64000,50000,81000
Nov,62000,48000,77000
Jan-19,72000,51000,95000
Mar,70000,52000,85000
May,72000,51000,92000
Jul,70000,49000,87000
Sep,60000,45000,78000
