Date,3YO,4YO,5YO
Jan-19,94000,78000,60000
Mar,84000,70000,58000
May,94000,68000,56000
Jul,88000,66000,52000
Sep,82000,60000,48000
Nov,86000,64000,44000
Jan-20,72000,64000,40000
Mar,84000,56000,38000
May,86000,54000,40000
Jul,78000,50000,38000
Sep,70000,54000,40000
Nov,72000,50000,40000
Jan-21,92000,62000,44000
Mar,98000,66000,50000
May,102000,74000,58000
Jul,102000,82000,62000
Sep,108000,88000,66000
Nov,116000,92000,72000
Jan-22,140000,124000,106000
Mar,166000,138000,116000
May,160000,142000,114000
Jul,148000,138000,110000
Sep,140000,130000,104000
Nov,132000,122000,98000
Jan-23,120000,106000,82000
Mar,116000,102000,78000
May,116000,96000,72000
Jul,110000,90000,68000
Sep,112000,84000,62000
Nov,106000,78000,58000
Jan-24,90000,64000,50000
Mar,116000,66000,54000
May,118000,72000,58000
Jul,100000,68000,52000
