Month,4YO,5YO,3-5YO Avg.
Jan-18,67000,55000,68000
Feb,63000,53000,64000
Mar,65000,51000,64000
Apr,66000,50000,64000
May,65000,49000,64000
Jun,64000,49000,63000
Jul,64000,50000,63000
Aug,64000,51000,63000
Sep,64000,52000,63000
Oct,63000,52000,62000
Nov,63000,53000,62000
Dec,62000,50000,62000
Jan-19,78000,62000,73000
Feb,73000,59000,71000
Mar,72000,58000,70000
Apr,71000,58000,69000
May,70000,57000,68000
Jun,69000,56000,68000
Jul,68000,54000,67000
Aug,67000,52000,66000
Sep,66000,50000,65000
Oct,65000,48000,64000
Nov,64000,46000,63000
Dec,62000,43000,60000
Jan-20,65000,50000,64000
Feb,65000,48000,63000
Mar,64000,44000,61000
Apr,54000,38000,57000
May,52000,38000,56000
Jun,52000,38000,55000
Jul,52000,38000,55000
Aug,54000,39000,55000
Sep,55000,39000,55000
Oct,54000,40000,54000
Nov,54000,40000,54000
Dec,53000,40000,53000
Jan-21,54000,40000,53000
