Month,3YO,4YO,5YO
Jan-19,94000,78000,60000
Mar,82000,68000,58000
May,94000,70000,60000
Jul,88000,68000,52000
Sep,80000,62000,48000
Nov,78000,58000,46000
Jan-20,90000,64000,44000
Mar,84000,58000,40000
May,86000,56000,42000
Jul,78000,52000,38000
Sep,74000,52000,38000
Nov,72000,50000,40000
Jan-21,92000,64000,48000
Mar,94000,72000,48000
May,86000,76000,54000
Jul,80000,78000,56000
Sep,82000,86000,64000
Nov,92000,96000,76000
Jan-22,120000,104000,80000
Mar,154000,138000,112000
May,166000,144000,116000
Jul,150000,138000,114000
Sep,144000,134000,110000
Nov,136000,128000,108000
Jan-23,130000,110000,94000
Mar,112000,104000,88000
May,114000,98000,70000
Jul,110000,92000,66000
Sep,102000,78000,58000
Nov,90000,66000,42000
