Month,3YO,4YO,5YO,3-5YO Avg.
Jan-19,93000,78000,58000,78000
Mar,83000,70000,58000,71000
May,93000,72000,60000,73000
Jul,86000,69000,55000,68000
Sep,81000,64000,50000,64000
Nov,79000,59000,45000,60000
Jan-20,89000,66000,42000,64000
Mar,83000,58000,43000,60000
May,70000,52000,39000,55000
Jul,76000,51000,37000,54000
Sep,77000,53000,38000,55000
Nov,74000,52000,38000,54000
Jan-21,93000,64000,53000,68000
Mar,97000,65000,57000,71000
May,99000,70000,60000,74000
Jul,104000,75000,65000,79000
Sep,111000,81000,73000,85000
Nov,118000,89000,81000,94000
Jan-22,122000,94000,91000,98000
Mar,150000,130000,110000,128000
May,165000,140000,115000,140000
Jul,145000,113000,98000,120000
