Month,4YO,5YO,3-5YO Avg.
Jan-18,70000,55000,68000
Feb,64000,52000,64000
Mar,66000,50000,64000
Apr,64000,50000,63000
May,63000,50000,63000
Jun,63000,50000,63000
Jul,64000,50000,64000
Aug,65000,50000,64000
Sep,66000,51000,65000
Oct,65000,51000,64000
Nov,64000,52000,63000
Dec,62000,58000,62000
Jan-19,78000,62000,74000
Feb,73000,60000,70000
Mar,70000,58000,69000
Apr,70000,56000,69000
May,69000,55000,68000
Jun,68000,54000,67000
Jul,67000,53000,66000
Aug,66000,51000,65000
Sep,64000,49000,63000
Oct,62000,46000,61000
Nov,59000,43000,58000
Dec,57000,42000,57000
Jan-20,68000,50000,66000
Feb,64000,45000,64000
Mar,65000,44000,61000
Apr,62000,38000,58000
May,55000,40000,55000
Jun,52000,41000,53000
Jul,51000,41000,54000
Aug,53000,39000,54000
Sep,55000,38000,55000
Oct,54000,40000,54000
Nov,53000,40000,54000
Dec,55000,41000,55000
