Date,3YO,4YO,5YO
Jan-19,95000,78000,60000
Mar,83000,68000,58000
May,94000,72000,60000
Jul,83000,68000,53000
Sep,79000,63000,47000
Nov,78000,58000,45000
Jan-20,92000,65000,42000
Mar,82000,55000,38000
May,73000,52000,39000
Jul,70000,51000,38000
Sep,72000,52000,38000
Nov,71000,50000,38000
Jan-21,89000,64000,47000
Mar,84000,67000,50000
May,94000,75000,55000
Jul,98000,78000,63000
Sep,102000,83000,70000
Nov,108000,89000,75000
Jan-22,142000,123000,110000
Mar,167000,140000,115000
May,157000,142000,112000
Jul,148000,135000,105000
Sep,142000,126000,98000
Nov,139000,118000,93000
Jan-23,132000,104000,83000
Mar,113000,104000,77000
May,115000,96000,72000
Jul,113000,88000,67000
Sep,109000,85000,63000
Nov,93000,70000,53000
Jan-24,120000,78000,63000
