Month,3YO,4YO,5YO
Jan-19,95000,78000,62000
Mar,85000,70000,60000
May,93000,70000,57000
Jul,88000,67000,54000
Sep,82000,63000,48000
Nov,79000,60000,46000
Jan-20,90000,65000,43000
Mar,84000,60000,40000
May,85000,55000,39000
Jul,78000,52000,38000
Sep,72000,51000,39000
Nov,72000,51000,40000
Jan-21,92000,69000,50000
Mar,86000,73000,55000
May,85000,77000,60000
Jul,90000,81000,65000
Sep,95000,88000,72000
Nov,102000,95000,78000
Jan-22,125000,125000,110000
Mar,150000,140000,115000
May,165000,142000,114000
Jul,155000,135000,112000
Sep,145000,128000,108000
Nov,138000,118000,100000
Jan-23,132000,107000,85000
Mar,115000,103000,80000
May,112000,98000,73000
Jul,108000,88000,67000
Sep,98000,80000,60000
Nov,93000,70000,53000
