Month,3YO,4YO,5YO
Jan-19,94000,78000,62000
Mar,83000,69000,58000
May,95000,70000,60000
Jul,88000,68000,55000
Sep,83000,62000,49000
Nov,77000,58000,45000
Jan-20,90000,65000,43000
Mar,84000,57000,40000
May,83000,55000,39000
Jul,87000,52000,38000
Sep,80000,50000,40000
Nov,74000,52000,41000
Jan-21,93000,64000,49000
Mar,88000,72000,58000
May,93000,76000,62000
Jul,100000,81000,69000
Sep,106000,87000,73000
Nov,113000,95000,80000
Jan-22,121000,102000,88000
Mar,152000,140000,115000
May,167000,142000,118000
Jul,158000,131000,112000
Sep,148000,123000,107000
Nov,142000,117000,103000
Jan-23,132000,102000,84000
Mar,115000,94000,76000
May,112000,89000,71000
Jul,114000,86000,68000
Sep,106000,78000,64000
