Month,3YO,4YO,5YO,3-5YO Avg.
Jan-19,94000,78000,62000,77000
Mar,85000,72000,59000,73000
May,94000,70000,57000,73000
Jul,88000,68000,52000,69000
Sep,81000,62000,48000,64000
Nov,72000,57000,44000,58000
Jan-20,89000,67000,43000,67000
Mar,85000,64000,46000,64000
May,83000,58000,41000,58000
Jul,76000,55000,38000,55000
Sep,72000,54000,39000,54000
Nov,72000,55000,40000,55000
Jan-21,94000,72000,50000,69000
Mar,99000,75000,52000,74000
May,101000,80000,58000,79000
Jul,107000,84000,65000,86000
Sep,113000,90000,70000,92000
Nov,120000,95000,77000,99000
Jan-22,122000,127000,105000,125000
Mar,153000,140000,115000,138000
May,165000,139000,115000,138000
Jul,155000,129000,105000,126000
Sep,140000,115000,95000,114000
Nov,112000,98000,75000,97000
