Month,2YO,3YO,4YO,5YO
Jan-16,112000,91000,70000,58000
Mar,96000,78000,66000,56000
May,92000,80000,64000,52000
Jul,88000,78000,62000,47000
Sep,84000,72000,60000,44000
Nov,82000,66000,58000,41000
Jan-17,99000,76000,63000,44000
Mar,98000,81000,67000,48000
May,97000,76000,63000,44000
Jul,101000,80000,65000,43000
Sep,104000,72000,59000,41000
Nov,96000,68000,55000,39000
Jan-18,118000,90000,66000,56000
Mar,101000,82000,65000,54000
May,106000,78000,63000,50000
Jul,98000,80000,64000,51000
Sep,96000,78000,63000,51000
Nov,108000,73000,59000,49000
Jan-19,128000,97000,78000,62000
Mar,116000,83000,68000,59000
May,121000,83000,67000,55000
Jul,107000,82000,66000,50000
