Month,4YO,5YO,3-5YO Avg.
Jan-16,70000,58000,72000
Mar,66000,55000,79000
May,63000,48000,80000
Jul,61000,43000,81000
Sep,59000,46000,74000
Nov,56000,41000,67000
Jan-17,68000,40000,67000
Mar,62000,45000,80000
May,61000,44000,78000
Jul,60000,45000,79000
Sep,59000,42000,58000
Nov,53000,41000,52000
Jan-18,71000,54000,67000
Mar,64000,47000,91000
May,64000,48000,82000
Jul,64000,49000,78000
Sep,63000,52000,81000
Nov,61000,51000,76000
Jan-19,61000,53000,77000
Mar,73000,62000,96000
May,69000,58000,89000
Jul,67000,53000,83000
