Month,4YO,5YO,3-5YO Avg.
Jan-16,70000,57000,72000
Feb,68000,54000,79000
Mar,66000,48000,81000
Apr,64000,43000,77000
May,62000,51000,80000
Jun,61000,43000,79000
Jul,59000,44000,77000
Aug,58000,47000,75000
Sep,57000,45000,74000
Oct,56000,41000,57000
Nov,55000,40000,56000
Dec,54000,41000,54000
Jan-17,67000,52000,68000
Feb,65000,48000,78000
Mar,61000,45000,79000
Apr,61000,44000,78000
May,62000,50000,82000
Jun,61000,46000,75000
Jul,59000,42000,73000
Aug,58000,43000,71000
Sep,57000,42000,71000
Oct,56000,40000,55000
Nov,54000,39000,53000
Dec,53000,40000,50000
Jan-18,68000,57000,71000
Feb,63000,54000,91000
Mar,65000,51000,84000
Apr,65000,48000,80000
May,64000,49000,78000
Jun,64000,47000,83000
Jul,65000,48000,82000
Aug,64000,50000,80000
Sep,63000,52000,79000
Oct,63000,52000,79000
Nov,62000,49000,80000
Dec (est.),62000,50000,79000
