Month,3YO,4YO,5YO
Jan-19,94000,78000,62000
Mar,83000,70000,58000
May,96000,68000,55000
Jul,87000,67000,51000
Sep,83000,63000,49000
Nov,73000,59000,46000
Jan-20,90000,65000,44000
Mar,84000,54000,40000
May,75000,52000,38000
Jul,72000,51000,39000
Sep,72000,51000,38000
Nov,71000,52000,38000
Jan-21,91000,64000,48000
Mar,88000,66000,50000
May,93000,72000,56000
Jul,95000,77000,61000
Sep,100000,88000,68000
Nov,110000,95000,73000
Jan-22,120000,100000,77000
Mar,155000,135000,115000
May,165000,142000,118000
Jul,155000,138000,114000
Sep,145000,130000,108000
Nov,130000,120000,97000
Jan-23,118000,105000,75000
Mar,112000,102000,70000
May,115000,95000,68000
Jul,114000,92000,64000
Sep,98000,85000,59000
Nov,92000,79000,55000
Jan-24,103000,77000,63000
