Month,4YO,5YO,3-5YO Avg.
Jan-18,67000,47000,70000
Feb,64000,47000,85000
Mar,66000,49000,78000
Apr,66000,49000,82000
May,66000,50000,79000
Jun,65000,48000,80000
Jul,64000,48000,84000
Aug,64000,50000,80000
Sep,62000,52000,78000
Oct,62000,51000,80000
Nov,63000,53000,79000
Dec,62000,50000,73000
Jan-19,77000,63000,95000
Feb,72000,60000,90000
Mar,70000,59000,95000
Apr,71000,57000,92000
May,71000,55000,89000
Jun,70000,53000,93000
Jul,68000,51000,95000
Aug,65000,49000,85000
Sep,63000,47000,82000
Oct,61000,46000,81000
Nov,59000,45000,76000
Dec,57000,44000,72000
Jan-20,64000,48000,90000
Feb,63000,45000,88000
Mar,61000,42000,85000
Apr,60000,41000,62000
May,57000,40000,58000
Jun,55000,39000,55000
Jul,54000,39000,54000
Aug,53000,38000,55000
Sep,51000,38000,53000
Oct,53000,40000,57000
Nov,54000,43000,56000
Dec,54000,43000,55000
Jan-21,72000,55000,93000
Feb,71000,53000,92000
