Date,3YO,4YO,5YO
Jan-19,94000,78000,59000
Mar,82000,68000,57000
May,94000,70000,62000
Jul,85000,66000,57000
Sep,83000,60000,48000
Nov,85000,63000,43000
Jan-20,72000,57000,41000
Mar,85000,54000,38000
May,82000,50000,38000
Jul,90000,54000,41000
Sep,95000,63000,51000
Nov,99000,71000,60000
Jan-21,72000,50000,38000
Mar,89000,64000,52000
May,97000,74000,61000
Jul,103000,80000,67000
Sep,111000,88000,76000
Nov,120000,95000,83000
Jan-22,89000,66000,53000
Mar,142000,128000,113000
May,167000,140000,116000
Jul,151000,138000,113000
Sep,145000,128000,104000
Nov,134000,115000,92000
Jan-23,103000,94000,75000
Mar,118000,87000,69000
May,111000,81000,63000
Jul,95000,77000,60000
