Time,4YO,5YO,3-5YO Avg.
Jan-16,71000,57000,72000
Mar,67000,51000,78000
May,65000,44000,79000
Jul,60000,51000,75000
Sep,60000,45000,74000
Nov,55000,41000,66000
Jan-17,68000,52000,78000
Mar,64000,45000,80000
May,61000,44000,74000
Jul,58000,46000,71000
Sep,54000,42000,70000
Nov,54000,40000,68000
Jan-18,70000,47000,90000
Mar,64000,47000,84000
May,63000,48000,84000
Jul,63000,51000,81000
Sep,63000,52000,79000
Nov,62000,52000,79000
Jan-19,73000,57000,95000
Mar,70000,61000,86000
May,70000,60000,93000
Jul,72000,55000,90000
Sep,68000,47000,82000
Nov,57000,42000,74000
