Month,4YO,5YO,3-5YO Avg.
Jan-18,66000,55000,68000
Mar,64000,48000,78000
May,64000,50000,83000
Jul,63000,48000,82000
Sep,63000,50000,79000
Nov,62000,52000,75000
Jan-19,70000,62000,95000
Mar,75000,58000,85000
May,73000,55000,84000
Jul,67000,50000,82000
Sep,64000,46000,78000
Nov,61000,44000,76000
Jan-20,66000,45000,87000
Mar,63000,42000,83000
May,60000,38000,76000
Jul,55000,37000,74000
Sep,53000,38000,73000
Nov,52000,40000,72000
Jan-21,65000,50000,93000
Mar,75000,58000,93000
May,75000,58000,101000
Jul,79000,64000,104000
Sep,86000,72000,102000
Nov,93000,78000,120000
