Month,3YO,4YO,5YO,3-5YO Avg.
Jan-19,94000,75000,62000,78000
Mar,83000,70000,58000,71000
May,95000,73000,56000,72000
Jul,88000,73000,52000,69000
Sep,82000,66000,48000,64000
Nov,78000,62000,44000,60000
Jan-20,90000,68000,44000,66000
Mar,84000,61000,41000,61000
May,79000,58000,40000,57000
Jul,72000,55000,38000,55000
Sep,73000,53000,40000,54000
Nov,71000,54000,38000,54000
Jan-21,94000,72000,53000,67000
Mar,99000,74000,57000,71000
May,102000,77000,60000,74000
Jul,101000,80000,63000,76000
Sep,107000,86000,69000,81000
Nov,120000,98000,77000,92000
Jan-22,132000,125000,108000,127000
Mar,158000,137000,116000,138000
May,148000,142000,112000,128000
Jul,140000,114000,95000,118000
