Month,4YO,5YO,3-5YO Avg.
Jan-19,77000,62000,73000
Feb-19,74000,58000,70000
Mar-19,72000,58000,68000
Apr-19,73000,58000,70000
May-19,73000,59000,72000
Jun-19,71000,57000,68000
Jul-19,70000,54000,66000
Aug-19,68000,52000,64000
Sep-19,66000,49000,62000
Oct-19,64000,46000,60000
Nov-19,61000,45000,58000
Dec-19,60000,43000,57000
Jan-20,68000,52000,65000
Feb-20,66000,50000,62000
Mar-20,64000,47000,60000
Apr-20,62000,45000,58000
May-20,60000,43000,55000
Jun-20,60000,42000,54000
Jul-20,60000,40000,54000
Aug-20,60000,39000,54000
Sep-20,59000,39000,53000
Oct-20,58000,39000,53000
Nov-20,57000,40000,52000
Dec-20,56000,38000,50000
Jan-21,66000,50000,60000
Feb-21,72000,52000,69000
Mar-21,76000,53000,74000
Apr-21,78000,55000,75000
May-21,78000,56000,76000
Jun-21,79000,58000,77000
Jul-21,81000,62000,79000
Aug-21,83000,65000,82000
Sep-21,85000,68000,85000
Oct-21,88000,71000,88000
Nov-21,92000,74000,92000
Dec-21,96000,77000,96000
Jan-22,98000,79000,120000
