Date,3YO,4YO,5YO
Jan-19,95000,78000,60000
Mar,82000,68000,58000
May,94000,71000,60000
Jul,85000,65000,55000
Sep,82000,60000,48000
Nov,72000,57000,44000
Jan-20,90000,64000,42000
Mar,84000,62000,38000
May,84000,55000,40000
Jul,78000,52000,38000
Sep,72000,51000,39000
Nov,72000,51000,40000
Jan-21,93000,64000,51000
Mar,88000,64000,52000
May,84000,70000,58000
Jul,93000,78000,65000
Sep,108000,86000,71000
Nov,120000,95000,77000
Jan-22,124000,98000,77000
Mar,154000,138000,115000
May,166000,142000,112000
Jul,150000,124000,103000
Sep,141000,115000,95000
Nov,135000,110000,89000
Jan-23,122000,104000,79000
Mar,110000,90000,70000
