Month,3YO,4YO,5YO,3-5YO Avg.
Jan-19,94000,77000,62000,78000
Mar,84000,70000,59000,73000
May,93000,72000,57000,70000
Jul,88000,69000,53000,67000
Sep,83000,66000,49000,63000
Nov,79000,63000,45000,60000
Jan-20,89000,66000,42000,64000
Mar,83000,63000,46000,63000
May,94000,58000,39000,58000
Jul,80000,55000,38000,55000
Sep,74000,52000,39000,53000
Nov,72000,53000,39000,54000
Jan-21,93000,72000,53000,72000
Mar,86000,71000,53000,73000
May,86000,76000,57000,77000
Jul,94000,81000,67000,84000
Sep,105000,87000,72000,89000
Nov,110000,96000,77000,97000
Jan-22,127000,125000,110000,127000
Mar,167000,135000,115000,140000
May,155000,140000,115000,135000
Jul,140000,115000,95000,120000
Sep,122000,103000,85000,105000
