Month,4YO,5YO,3-5YO Avg.
Jan-16,70000,58000,74000
Mar,65000,54000,80000
May,63000,48000,78000
Jul,60000,42000,78000
Sep,58000,45000,70000
Nov,55000,40000,70000
Jan-17,67000,45000,79000
Mar,62000,48000,78000
May,61000,43000,73000
Jul,59000,45000,71000
Sep,54000,42000,67000
Nov,53000,41000,65000
Jan-18,68000,52000,71000
Mar,64000,47000,92000
May,64000,47000,80000
Jul,63000,47000,80000
Sep,64000,50000,82000
Nov,63000,53000,78000
Jan-19,73000,58000,75000
Mar,70000,57000,94000
May,70000,54000,84000
Jul,68000,50000,82000
Sep,65000,47000,79000
Nov,58000,45000,73000
Jan-20,64000,49000,89000
