Month,4YO,5YO,3-5YO Avg.
Jan-18,67000,55000,71000
Mar,65000,48000,82000
May,64000,50000,83000
Jul,64000,51000,80000
Sep,62000,52000,79000
Nov,63000,51000,72000
Jan-19,70000,62000,96000
Mar,74000,57000,89000
May,73000,54000,83000
Jul,72000,51000,81000
Sep,67000,47000,79000
Nov,64000,45000,75000
Jan-20,63000,44000,73000
Mar,60000,46000,63000
May,56000,43000,54000
Jul,52000,39000,54000
Sep,52000,38000,55000
Nov,52000,41000,55000
Jan-21,72000,52000,72000
Mar,76000,58000,73000
May,77000,62000,99000
Jul,81000,69000,102000
Sep,88000,74000,106000
Nov,98000,78000,122000
