Month,4YO,5YO,3-5YO Avg.
Jan-16,72000,57000,70000
Mar,66000,47000,65000
May,61000,45000,62000
Jul,60000,42000,60000
Sep,58000,41000,59000
Nov,56000,41000,57000
Jan-17,62000,45000,62000
Mar,60000,45000,60000
May,60000,47000,60000
Jul,57000,44000,58000
Sep,55000,43000,55000
Nov,54000,41000,55000
Jan-18,63000,52000,65000
Mar,65000,50000,65000
May,66000,47000,65000
Jul,64000,47000,64000
Sep,63000,47000,63000
Nov,63000,47000,62000
Jan-19,70000,58000,72000
Mar,69000,57000,70000
May,71000,53000,71000
Jul,68000,50000,67000
Sep,65000,49000,65000
Nov,64000,49000,64000
Jan-20,65000,43000,64000
Mar,63000,40000,63000
May,64000,42000,62000
Jul,52000,39000,55000
Sep,51000,40000,53000
Nov,54000,40000,55000
