Month,4YO,5YO,3-5YO Avg.
Jan-15,77000,69000,78000
Mar,72000,62000,83000
May,70000,63000,80000
Jul,71000,61000,79000
Sep,70000,58000,78000
Nov,67000,57000,75000
Jan-16,62000,53000,64000
Mar,70000,58000,72000
May,64000,47000,79000
Jul,63000,43000,77000
Sep,60000,42000,73000
Nov,59000,40000,71000
Jan-17,59000,52000,66000
Mar,61000,46000,78000
May,60000,44000,79000
Jul,58000,47000,76000
Sep,55000,43000,71000
Nov,53000,41000,70000
Jan-18,68000,54000,72000
Mar,65000,47000,91000
May,65000,48000,82000
Jul (est.),65000,48000,81000
