Month,4YO,5YO,3-5YO Avg.
Jan-16,72000,58000,74000
Feb,70000,53000,73000
Mar,67000,50000,68000
Apr,65000,45000,65000
May,64000,45000,64000
Jun,63000,48000,62000
Jul,61000,47000,60000
Aug,60000,47000,59000
Sep,58000,46000,58000
Oct,57000,43000,57000
Nov,56000,41000,56000
Dec,54000,40000,54000
Jan-17,68000,52000,78000
Feb,65000,45000,79000
Mar,61000,45000,76000
Apr,60000,46000,74000
May,60000,48000,72000
Jun,59000,45000,72000
Jul,57000,44000,71000
Aug,56000,43000,74000
Sep,55000,42000,74000
Oct,54000,40000,70000
Nov,53000,39000,68000
Dec,50000,40000,65000
Jan-18,72000,56000,91000
Feb,67000,47000,84000
Mar,63000,47000,77000
Apr,64000,48000,83000
May,64000,50000,81000
Jun,64000,50000,79000
Jul,64000,49000,78000
Aug (est.),64000,50000,79000
