Month,4YO,5YO,3-5YO Avg.
Jan-16,70000,57000,73000
Mar,66000,48000,78000
May,65000,43000,80000
Jul,60000,50000,78000
Sep,58000,45000,74000
Nov,56000,40000,67000
Jan-17,54000,40000,67000
Mar,65000,45000,79000
May,62000,45000,78000
Jul,59000,42000,75000
Sep,56000,42000,72000
Nov,52000,41000,69000
Jan-18,54000,54000,70000
Mar,71000,50000,92000
May,67000,42000,81000
Jul,65000,42000,78000
Sep,64000,46000,80000
Nov,62000,42000,77000
Jan-19,62000,51000,79000
Mar,73000,53000,94000
May,70000,50000,88000
Jul,67000,47000,84000
Sep,64000,46000,82000
Nov,62000,41000,75000
Jan-20,58000,41000,68000
Mar,64000,43000,89000
