Month,3YO,4YO,5YO,3-5YO Avg.
Jan-19,94000,77000,61000,78000
Mar,85000,70000,57000,72000
May,94000,73000,52000,72000
Jul,86000,70000,49000,70000
Sep,82000,67000,45000,66000
Nov,74000,60000,42000,62000
Jan-20,89000,66000,45000,66000
Mar,85000,63000,43000,64000
May,84000,61000,39000,62000
Jul,75000,57000,38000,58000
Sep,72000,54000,39000,55000
Nov,72000,52000,38000,54000
Jan-21,94000,72000,52000,71000
Mar,94000,74000,50000,72000
May,102000,77000,54000,76000
Jul,105000,81000,60000,81000
Sep,110000,85000,65000,86000
Nov,118000,92000,70000,93000
Jan-22,124000,99000,77000,99000
Mar,164000,139000,116000,134000
