Month,4YO,5YO,3-5YO Avg.
Jan-15,78000,70000,80000
Mar-15,73000,65000,83000
May-15,73000,63000,80000
Jul-15,71000,60000,78000
Sep-15,70000,58000,77000
Nov-15,67000,58000,75000
Jan-16,62000,53000,70000
Mar-16,70000,57000,93000
May-16,68000,50000,79000
Jul-16,65000,44000,77000
Sep-16,62000,44000,74000
Nov-16,59000,47000,72000
Jan-17,57000,41000,67000
Mar-17,61000,44000,79000
May-17,60000,43000,77000
Jul-17,58000,45000,78000
Sep-17,55000,43000,73000
Nov-17,54000,41000,71000
Jan-18,52000,40000,66000
Mar-18,70000,47000,90000
May-18,66000,48000,75000
