Month-Year,3YO,4YO,5YO,3-5YO Avg.
Jan-19,94000,78000,61000,78000
Feb,84000,71000,58000,73000
Mar,83000,70000,57000,72000
Apr,94000,73000,60000,73000
May,96000,74000,59000,74000
Jun,90000,72000,55000,72000
Jul,85000,68000,50000,68000
Aug,82000,66000,48000,65000
Sep,81000,64000,45000,63000
Oct,77000,61000,43000,61000
Nov,74000,58000,42000,59000
Dec,72000,57000,41000,58000
Jan-20,89000,69000,52000,68000
Feb,88000,67000,50000,67000
Mar,84000,64000,47000,64000
Apr,86000,63000,46000,63000
May,84000,62000,44000,62000
Jun,80000,59000,42000,59000
Jul,77000,57000,40000,57000
Aug,75000,55000,39000,55000
Sep,73000,54000,38000,54000
Oct,72000,53000,38000,53000
Nov,72000,53000,39000,53000
Dec,72000,53000,40000,53000
Jan-21,92000,72000,52000,72000
Feb,92000,72000,51000,72000
Mar,95000,74000,52000,73000
Apr,98000,76000,54000,75000
May,100000,77000,56000,76000
Jun,102000,78000,59000,78000
Jul,104000,80000,62000,79000
Aug,105000,82000,65000,81000
Sep,106000,84000,68000,83000
Oct,108000,86000,71000,85000
Nov,110000,89000,74000,88000
Dec,118000,96000,81000,95000
Jan-22,155000,132000,111000,132000
Feb,156000,133000,112000,133000
