Month,3YO,4YO,5YO,3-5YO Avg.
Jan-19,94000,78000,60000,78000
Feb,85000,70000,58000,73000
Mar,94000,70000,56000,73000
Apr,93000,72000,54000,73000
May,90000,70000,52000,71000
Jun,86000,68000,50000,69000
Jul,84000,67000,48000,67000
Aug,82000,65000,46000,65000
Sep,80000,63000,44000,63000
Oct,78000,61000,42000,61000
Nov,76000,59000,41000,59000
Dec,73000,57000,40000,57000
Jan-20,89000,68000,48000,67000
Feb,88000,66000,46000,65000
Mar,86000,64000,44000,63000
Apr,83000,62000,42000,61000
May,81000,60000,40000,59000
Jun,78000,58000,39000,57000
Jul,76000,56000,38000,55000
Aug,74000,55000,38000,54000
Sep,73000,54000,38000,53000
Oct,72000,53000,38000,52000
Nov,72000,53000,38000,52000
Dec,71000,52000,38000,51000
Jan-21,94000,74000,52000,72000
Feb,94000,73000,52000,72000
Mar,97000,75000,55000,74000
Apr,98000,77000,58000,76000
May,100000,79000,61000,78000
Jun,102000,81000,64000,80000
Jul,103000,82000,66000,81000
Aug,104000,83000,68000,82000
Sep,105000,84000,70000,83000
Oct,107000,86000,72000,85000
Nov,110000,89000,74000,87000
Dec,113000,92000,76000,90000
Jan-22,125000,108000,96000,106000
Feb,155000,138000,115000,135000
Mar,162000,139000,116000,136000
