Month,3YO,4YO,5YO
Jan-19,95000,70000,60000
Mar,85000,70000,60000
May,95000,75000,60000
Jul,85000,70000,55000
Sep,80000,65000,50000
Nov,80000,60000,45000
Jan-20,85000,55000,40000
Mar,85000,60000,45000
May,80000,55000,40000
Jul,80000,50000,40000
Sep,80000,50000,40000
Nov,70000,50000,40000
Jan-21,90000,65000,50000
Mar,90000,65000,50000
May,95000,70000,55000
Jul,100000,75000,60000
Sep,110000,85000,70000
Nov,120000,95000,80000
Jan-22,120000,100000,90000
Mar,150000,135000,110000
May,165000,145000,115000
Jul,155000,140000,115000
Sep,140000,130000,105000
Nov,130000,110000,95000
Jan-23,115000,100000,80000
Mar,115000,90000,70000
May,110000,80000,65000
Jul,90000,70000,60000
