Month,3YO,4YO,5YO
Jan-19,94000,78000,62000
Mar,82000,70000,59000
May,94000,67000,58000
Jul,87000,69000,55000
Sep,83000,64000,50000
Nov,73000,59000,45000
Jan-20,89000,64000,44000
Mar,85000,63000,48000
May,88000,57000,43000
Jul,79000,52000,39000
Sep,72000,52000,38000
Nov,72000,50000,40000
Jan-21,89000,69000,53000
Mar,93000,74000,51000
May,102000,80000,60000
Jul,102000,83000,70000
Sep,106000,87000,76000
Nov,110000,95000,78000
Jan-22,120000,98000,77000
Mar,150000,137000,114000
May,167000,141000,116000
Jul,155000,124000,108000
Sep,143000,116000,99000
Nov,125000,108000,87000
Jan-23,132000,103000,82000
