Time,4YO,5YO,3-5YO Avg.
Jan-18,65000,55000,68000
Mar,63000,47000,78000
May,66000,50000,85000
Jul,64000,52000,82000
Sep,63000,49000,79000
Nov,62000,53000,77000
Jan-19,76000,62000,78000
Mar,72000,59000,72000
May,70000,55000,70000
Jul,68000,51000,68000
Sep,64000,47000,65000
Nov,59000,45000,61000
Jan-20,67000,51000,66000
Mar,64000,42000,62000
May,58000,38000,56000
Jul,53000,38000,55000
Sep,52000,38000,54000
Nov,53000,40000,54000
Jan-21,72000,50000,71000
Mar,70000,51000,72000
May,73000,58000,93000
Jul,83000,67000,102000
