Month,4YO,5YO,3-5YO Avg.
Jan-16,70000,58000,73000
Mar,65000,55000,79000
May,60000,48000,77000
Jul,60000,43000,74000
Sep,56000,45000,74000
Nov,55000,40000,68000
Jan-17,67000,53000,78000
Mar,61000,45000,81000
May,61000,45000,78000
Jul,55000,43000,74000
Sep,53000,43000,71000
Nov,50000,40000,69000
Jan-18,68000,53000,71000
Mar,66000,46000,90000
May,66000,47000,83000
Jul,64000,50000,84000
Sep,64000,52000,80000
Nov,63000,52000,80000
Jan-19,71000,58000,77000
Mar,73000,58000,94000
May,69000,53000,83000
Jul,70000,49000,91000
Sep,68000,47000,83000
Nov,59000,45000,75000
