Month,4YO,5YO,3-5YO Avg.
Jan-16,70000,58000,73000
Feb,68000,57000,78000
Mar,66000,50000,75000
Apr,64000,44000,81000
May,63000,44000,80000
Jun,61000,48000,77000
Jul,60000,47000,74000
Aug,60000,49000,72000
Sep,58000,46000,71000
Oct,56000,42000,69000
Nov,55000,41000,67000
Dec,54000,40000,66000
Jan-17,67000,45000,68000
Feb,65000,45000,79000
Mar,63000,47000,77000
Apr,62000,45000,79000
May,61000,45000,77000
Jun,60000,44000,73000
Jul,58000,45000,72000
Aug,57000,45000,70000
Sep,55000,43000,69000
Oct,55000,40000,70000
Nov,54000,40000,69000
Dec,54000,41000,67000
Jan-18,67000,46000,71000
Feb,67000,46000,83000
Mar,66000,47000,87000
Apr,65000,47000,80000
May,64000,48000,81000
Jun,64000,48000,77000
Jul,64000,50000,78000
Aug,63000,50000,79000
Sep,63000,50000,78000
Oct,64000,51000,79000
Aug,64000,51000,78000
Oct (est.),64000,51000,79000
