Month,4YO,5YO,3-5YO Avg.
Jan-16,70000,57000,74000
Mar,65000,50000,78000
May,62000,43000,81000
Jul,60000,47000,75000
Sep,59000,44000,72000
Nov,55000,41000,69000
Jan-17,67000,45000,78000
Mar,63000,44000,79000
May,61000,46000,73000
Jul,59000,43000,71000
Sep,55000,42000,67000
Nov,54000,40000,65000
Jan-18,69000,47000,91000
Mar,68000,48000,80000
May,66000,47000,83000
Jul,64000,49000,78000
Sep,63000,51000,80000
Nov,62000,52000,78000
Jan-19,72000,57000,95000
Mar,70000,60000,85000
May,68000,57000,94000
Jul,64000,54000,88000
Sep,63000,52000,83000
Nov,62000,47000,82000
Jan-20,63000,50000,89000
