Month,4YO,5YO,3-5YO Avg.
Jan-16,70000,58000,72500
Mar,65000,52000,68000
May,60000,43000,63000
Jul,59000,46000,60000
Sep,56000,47000,58000
Nov,54000,49000,55000
Jan-17,68000,50000,67000
Mar,62000,46000,63000
May,60000,44000,62000
Jul,58000,47000,59000
Sep,55000,44000,57000
Nov,52000,40000,54000
Jan-18,67000,55000,66000
Mar,64000,51000,65000
May,63000,56000,64000
Jul,63000,53000,63000
Sep,62000,50000,63000
Nov,62000,49000,63000
Jan-19,70000,55000,72000
Mar,68000,62000,70000
May,70000,58000,70000
Jul,68000,55000,69000
Sep,62000,45000,66000
