Month,4YO,5YO,3-5YO Avg.
Jan-18,66000,56000,67000
Mar,64000,47000,64000
May,66000,49000,64000
Jul,64000,50000,63000
Sep,63000,52000,63000
Nov,62000,51000,62000
Jan-19,78000,61000,75000
Mar,73000,59000,71000
May,71000,54000,68000
Jul,67000,49000,65000
Sep,65000,45000,63000
Nov,62000,43000,61000
Jan-20,77000,51000,73000
Mar,67000,45000,65000
May,57000,40000,56000
Jul,54000,39000,53000
Sep,52000,38000,52000
Nov,52000,40000,52000
Jan-21,72000,50000,71000
Mar,72000,52000,71000
May,71000,51000,72000
Jul,80000,63000,81000
Sep,89000,73000,88000
