Month,4YO,5YO,3-5YO Avg.
Jan-16,70000,58000,72000
Feb,68000,56000,78000
Mar,66000,48000,82000
Apr,64000,44000,81000
May,63000,43000,77000
Jun,60000,48000,75000
Jul,59000,46000,74000
Aug,57000,48000,72000
Sep,56000,44000,71000
Oct,55000,41000,71000
Nov,54000,40000,67000
Dec,67000,41000,67000
Jan-17,68000,52000,79000
Feb,66000,49000,78000
Mar,63000,47000,78000
Apr,62000,45000,74000
May,61000,45000,63000
Jun,60000,49000,62000
Jul,59000,47000,61000
Aug,57000,48000,59000
Sep,56000,43000,58000
Oct,54000,41000,56000
Nov,53000,40000,55000
Dec,70000,54000,72000
Jan-18,68000,55000,67000
Feb,64000,56000,85000
Mar,64000,54000,80000
Apr,64000,53000,82000
May,65000,51000,78000
Jun,64000,50000,80000
Jul,64000,51000,83000
Aug,63000,50000,82000
Sep,63000,51000,81000
Oct,62000,52000,79000
Nov (est.),61000,52000,78000
