Time,3YO,4YO,5YO
Jan-19,94000,70000,60000
Mar,83000,68000,57000
May,94000,69000,54000
Jul,83000,64000,50000
Sep,80000,60000,47000
Nov,74000,57000,44000
Jan-20,87000,64000,43000
Mar,88000,65000,45000
May,82000,62000,41000
Jul,73000,55000,39000
Sep,70000,52000,38000
Nov,71000,51000,40000
Jan-21,92000,72000,50000
Mar,98000,76000,53000
May,99000,78000,56000
Jul,102000,82000,61000
Sep,107000,87000,68000
Nov,112000,93000,73000
Jan-22,124000,105000,94000
Mar,150000,138000,115000
May,167000,141000,112000
Jul,155000,138000,115000
Sep,145000,130000,108000
Nov,130000,118000,98000
Jan-23,119000,106000,89000
Mar,115000,103000,84000
May,120000,92000,77000
Jul,115000,90000,73000
Sep,102000,84000,66000
Nov,95000,78000,60000
Jan-24,92000,77000,56000
Mar,118000,79000,58000
May,109000,73000,51000
Jul,92000,71000,50000
