Date,3YO,4YO,5YO
Jan-19,95000,77000,60000
Mar,83000,70000,58000
May,95000,68000,55000
Jul,87000,60000,48000
Sep,81000,58000,45000
Nov,78000,55000,43000
Jan-20,91000,64000,47000
Mar,85000,58000,42000
May,82000,53000,39000
Jul,70000,53000,38000
Sep,70000,50000,38000
Nov,72000,51000,40000
Jan-21,90000,67000,48000
Mar,95000,70000,53000
May,98000,75000,60000
Jul,102000,80000,65000
Sep,108000,85000,72000
Nov,115000,90000,76000
Jan-22,125000,97000,88000
Mar,140000,125000,112000
May,166000,140000,117000
Jul,155000,137000,115000
Sep,145000,125000,110000
Nov,138000,118000,108000
Jan-23,132000,105000,95000
Mar,118000,103000,85000
May,112000,95000,78000
Jul,108000,88000,72000
Sep,98000,78000,65000
Nov,90000,73000,58000
Jan-24,105000,65000,52000
Mar,95000,72000,55000
