Month,4YO,5YO,3-5YO Avg.
Jan-16,70000,58000,73000
Mar,66000,48000,78000
May,65000,45000,80000
Jul,60000,42000,74000
Sep,58000,47000,74000
Nov,55000,40000,67000
Jan-17,68000,45000,78000
Mar,64000,45000,79000
May,62000,51000,77000
Jul,60000,43000,70000
Sep,55000,43000,67000
Nov,52000,41000,66000
Jan-18,67000,55000,71000
Mar,64000,50000,91000
May,65000,44000,81000
Jul,64000,43000,78000
Sep,63000,50000,80000
Nov,61000,53000,79000
Jan-19,72000,49000,73000
Mar,70000,50000,95000
May,70000,49000,90000
Jul,67000,50000,84000
Sep,63000,45000,83000
Nov,61000,42000,78000
Jan-20,67000,45000,73000
Mar,62000,42000,89000
