Month,3YO,4YO,5YO,3-5YO Avg.
Jan-19,93000,77000,62000,78000
Mar,83000,70000,58000,73000
May,93000,72000,55000,72000
Jul,88000,69000,51000,69000
Sep,82000,66000,47000,66000
Nov,78000,63000,45000,64000
Jan-20,68000,57000,42000,58000
Mar,88000,64000,44000,66000
May,85000,62000,42000,64000
Jul,78000,59000,40000,61000
Sep,73000,56000,38000,58000
Nov,70000,55000,39000,57000
Jan-21,74000,55000,40000,57000
Mar,93000,72000,50000,73000
May,96000,74000,55000,75000
Jul,102000,80000,62000,81000
Sep,107000,85000,70000,87000
Nov,112000,90000,75000,92000
Jan-22,122000,97000,77000,97000
Mar,144000,138000,115000,138000
May,148000,125000,110000,122000
